rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,25,80629,6.361791808820113,8.567528227652693,2.205736418832579,14,3404,665,0
1,24,102449,5.172737102634677,7.090896229084126,1.9181591264494484,14,3404,665,0
1,23,49555,4.116717157966681,5.654289456580027,1.5375722986133455,14,3404,665,0
1,22,110585,2.5650024626030716,3.7481241008859394,1.1831216382828678,14,3404,665,0
1,16,485,2.460000703183627,3.466575548241381,1.006574845057754,14,3404,665,0
1,19,34467,2.6563289864734867,3.5035627518239925,0.8472337653505058,14,3404,665,0
1,18,80644,2.17251483165301,2.903103031006197,0.7305881993531869,14,3404,665,0
2,22,13159,0.5045517128850682,1.1982677511080588,0.6937160382229907,14,3404,665,0
2,24,25313,0.3770019548167362,1.0232001407987181,0.6461981859819819,14,3404,665,0
2,23,23812,0.20067922909301514,0.7362931965006478,0.5356139674076327,14,3404,665,0
1,17,81357,0.6094560943693585,1.1225582592475138,0.5131021648781553,14,3404,665,0
2,17,27390,1.2483852704001175,1.7191932017647118,0.4708079313645943,14,3404,665,0
2,19,11267,0.42097013139610556,0.8912667035732053,0.4702965721770997,14,3404,665,0
1,21,87801,0.18840523316060304,0.6485301095810065,0.4601248764204035,14,3404,665,0
2,16,18883,0.461074023524754,0.918753141416733,0.457679117891979,14,3404,665,0
2,21,48010,0.09674725271579479,0.5007863873020756,0.4040391345862808,14,3404,665,0
2,18,34972,0.5540977829136898,0.9382601447614543,0.3841623618477644,14,3404,665,0
1,15,96419,0.17441921224534113,0.55581167007672,0.38139245783137893,14,3404,665,0
3,24,93739,0.11452685010774658,0.489663315865394,0.3751364657576475,14,3404,665,0
2,25,85137,0.18047354412307856,0.5536754835936486,0.37320193947057,14,3404,665,0
3,21,119749,0.0,0.35036638211936566,0.35036638211936566,14,3404,665,0
3,23,64861,0.001229782018671974,0.3471641930652996,0.34593441104662764,14,3404,665,0
3,17,27487,0.00024772209099630275,0.3164894908419719,0.3162417687509756,14,3404,665,0
3,19,4635,0.08452368300912741,0.3998675013503473,0.31534381834121994,14,3404,665,0
3,22,12702,0.07059904358608872,0.3771881589466851,0.3065891153605964,14,3404,665,0
4,24,63761,0.003939603845955068,0.2700988246417123,0.26615922079575727,14,3404,665,0
3,25,99366,0.05488015044666461,0.3132368283133557,0.2583566778666911,14,3404,665,0
4,23,27136,0.03947709714322363,0.29616915665192595,0.25669205950870233,14,3404,665,0
5,24,99283,0.12064914415167682,0.3766442810419269,0.25599513689025005,14,3404,665,0
4,17,54456,0.07363307410057944,0.32249504552055047,0.24886197141997102,14,3404,665,0
1,20,51150,0.0,0.24228167710111842,0.24228167710111842,14,3404,665,0
4,19,66562,0.12877830029084975,0.36830030069511377,0.23952200040426402,14,3404,665,0
5,23,30551,0.057651221480870755,0.2827772574318824,0.22512603595101166,14,3404,665,0
2,20,36795,0.07155445186508155,0.2944445028099536,0.22289005094487205,14,3404,665,0
6,23,8670,2.5435329518547752e-05,0.20751447959557462,0.20748904426605608,14,3404,665,0
4,25,11107,0.0,0.20151031284564888,0.20151031284564888,14,3404,665,0
5,25,90635,0.03345441226366738,0.23054639706868102,0.19709198480501364,14,3404,665,0
6,25,38099,0.004231650061308072,0.1943914980242287,0.19015984796292063,14,3404,665,0
7,25,72863,0.12019383112748556,0.30544248042553385,0.1852486492980483,14,3404,665,0
7,23,1258,0.00013029705332718764,0.18332370811987317,0.183193411066546,14,3404,665,0
