rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,25,80629,6.333274623548625,9.592847772871762,3.2595731493231375,13,3031,595,0
1,24,102449,5.163334374196259,8.1168377138079,2.9535033396116415,13,3031,595,0
1,23,49555,4.1488619909382765,6.650813849620071,2.501951858681794,13,3031,595,0
1,22,110585,2.597857250597126,4.513239617756483,1.9153823671593568,13,3031,595,0
1,19,34467,2.675324709150549,4.218183933217419,1.5428592240668695,13,3031,595,0
1,16,485,2.4709107439206996,3.717467289313343,1.2465565453926435,13,3031,595,0
1,18,80644,2.194701757557043,3.4024460743045273,1.2077443167474842,13,3031,595,0
1,17,27390,1.2493055202075765,2.046435658667727,0.7971301384601504,13,3031,595,0
2,24,25313,0.39054669982611184,1.127712880321566,0.7371661804954541,13,3031,595,0
2,22,13159,0.5220034856906595,1.2024692729818236,0.6804657872911641,13,3031,595,0
2,23,23812,0.20872963031967226,0.8396722113364026,0.6309425810167303,13,3031,595,0
1,21,19495,1.0307771195830322,1.652392213558002,0.6216150939749698,13,3031,595,0
1,20,15842,1.582972393546193,2.1963211656691013,0.6133487721229083,13,3031,595,0
2,21,87801,0.2015728367348092,0.7961325689639392,0.5945597322291301,13,3031,595,0
2,19,11267,0.4363469821293069,1.0146116594446066,0.5782646773152997,13,3031,595,0
2,17,81357,0.6307145116764273,1.1932548736157216,0.5625403619392942,13,3031,595,0
2,16,18883,0.47377469512703413,0.9475578836347887,0.4737831885077545,13,3031,595,0
2,25,85137,0.1688628798314843,0.6344865825421164,0.46562370271063214,13,3031,595,0
3,24,93739,0.10311406401061649,0.5491189817357006,0.4460049177250841,13,3031,595,0
2,18,34972,0.5695717026636063,0.9915931158396052,0.42202141317599884,13,3031,595,0
1,15,96419,0.17482616217055147,0.5957709841943093,0.4209448220237578,13,3031,595,0
4,24,99283,0.12953597141689455,0.5382096044240687,0.4086736330071742,13,3031,595,0
3,22,12702,0.06359300747211434,0.43910383432026284,0.3755108268481485,13,3031,595,0
3,23,27136,0.04213782932814647,0.39158553474111335,0.3494477054129669,13,3031,595,0
3,21,48010,0.10838319621031543,0.44994008204720576,0.3415568858368903,13,3031,595,0
3,17,27487,0.00023699724841575451,0.3136753527644945,0.31343835551607874,13,3031,595,0
4,21,119749,0.0,0.3076429357705248,0.3076429357705248,13,3031,595,0
4,23,30551,0.05223970173470807,0.3376777712285853,0.2854380694938772,13,3031,595,0
5,21,83445,0.8203021532822066,1.1024399114245234,0.2821377581423168,13,3031,595,0
2,20,36795,0.06573402509559409,0.34181295410163615,0.27607892900604203,13,3031,595,0
4,17,54456,0.08158851736526321,0.35683760146686566,0.2752490841016024,13,3031,595,0
3,20,32479,0.10065242957826183,0.3632684940501138,0.262616064471852,13,3031,595,0
3,19,4635,0.0853547657134075,0.33258599367547226,0.24723122796206476,13,3031,595,0
3,25,90635,0.031586436506262645,0.2542985932364049,0.22271215673014227,13,3031,595,0
4,25,108219,0.00418511438080765,0.2221057113219924,0.21792059694118474,13,3031,595,0
5,23,64861,0.0010961758642062751,0.21167255826503364,0.21057638240082738,13,3031,595,0
6,21,44526,0.11080101956465087,0.32132297352705746,0.21052195396240658,13,3031,595,0
4,19,66562,0.14068543084887644,0.3467711916704092,0.20608576082153277,13,3031,595,0
5,25,11107,0.0,0.1943112910389823,0.1943112910389823,13,3031,595,0
