layer,latent,bad_medical_delta,extreme_sports_delta,risky_finance_delta,mean_delta,min_delta
25,80629,3.506306,2.205736,3.259573,2.990539,2.205736
24,102449,3.090207,1.918159,2.953503,2.653957,1.918159
23,49555,2.439559,1.537572,2.501952,2.159695,1.537572
22,110585,1.802483,1.183122,1.915382,1.633662,1.183122
19,34467,1.575266,0.847234,1.542859,1.321786,0.847234
16,485,1.549894,1.006575,1.246557,1.267675,1.006575
18,80644,1.296397,0.730588,1.207744,1.078243,0.730588
17,27390,1.049061,0.470808,0.797130,0.772333,0.470808
24,25313,0.721968,0.646198,0.737166,0.701778,0.646198
22,13159,0.437152,0.693716,0.680466,0.603778,0.437152
