rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,27,85258,11.401889163314001,18.199014043929907,6.797124880615906,14,3121,671,0
1,23,39242,5.787527307763519,8.892244318658923,3.1047170108954036,14,3121,671,0
2,27,107798,0.0002712793011393648,2.6950072508615706,2.6947359715604313,14,3121,671,0
1,19,53974,3.0954474646036867,4.619014888196799,1.523567423593112,14,3121,671,0
1,15,129304,2.247361413362557,3.001559945244907,0.7541985318823503,14,3121,671,0
1,11,40599,1.8368992016416819,2.4511323980872772,0.6142331964455954,14,3121,671,0
2,23,78831,0.0,0.49222253397221,0.49222253397221,14,3121,671,0
1,7,128494,1.3795377489542864,1.7590424701400116,0.3795047211857252,14,3121,671,0
3,27,68942,0.09291891501023257,0.42029507044929326,0.3273761554390607,14,3121,671,0
4,27,57734,0.07573892631246924,0.391892807686105,0.31615388137363576,14,3121,671,0
2,19,45810,0.0,0.3159863396554911,0.3159863396554911,14,3121,671,0
5,27,53418,0.007343563276522464,0.3104189500904693,0.30307538681394686,14,3121,671,0
6,27,31772,0.11903819300946554,0.4089723110029098,0.28993411799344426,14,3121,671,0
7,27,125460,0.23508911714941425,0.5232471837494337,0.2881580666000194,14,3121,671,0
8,27,10082,0.027591715407144456,0.31572597255898094,0.2881342571518365,14,3121,671,0
9,27,21268,0.19535778374476107,0.4561934933114025,0.2608357095666415,14,3121,671,0
10,27,87482,0.0014506996666361956,0.23606621333178027,0.23461551366514408,14,3121,671,0
3,23,59522,0.05468117573429338,0.28416767204622245,0.22948649631192908,14,3121,671,0
11,27,36162,0.039230043866295757,0.25398870628054665,0.2147586624142509,14,3121,671,0
4,23,127528,0.0034764915282677325,0.205244705620259,0.20176821409199128,14,3121,671,0
5,23,57734,0.04289825412076882,0.2432357364575755,0.2003374823368067,14,3121,671,0
12,27,38223,0.0004147075684487888,0.17889800310752355,0.17848329553907474,14,3121,671,0
13,27,121245,0.027933374962092857,0.20624888030020866,0.1783155053381158,14,3121,671,0
3,19,13897,0.037337756373957365,0.21305752108135698,0.1757197647073996,14,3121,671,0
14,27,82105,0.00140051690358366,0.16593504039657242,0.16453452349298875,14,3121,671,0
15,27,7345,0.027214382100277594,0.18895385498683842,0.16173947288656082,14,3121,671,0
16,27,13409,0.03347500837617303,0.18586211239555808,0.15238710401938504,14,3121,671,0
17,27,88324,0.029694970002518493,0.17976640061177562,0.15007143060925712,14,3121,671,0
4,19,79996,0.04470763374388948,0.1935156182783797,0.14880798453449023,14,3121,671,0
18,27,42709,0.02431904317532611,0.16839065514612933,0.14407161197080323,14,3121,671,0
19,27,102364,0.013242700889847985,0.1562398486260119,0.1429971477361639,14,3121,671,0
20,27,91884,0.10654353473842441,0.24774420206040215,0.14120066732197772,14,3121,671,0
6,23,40756,0.026555187452612306,0.1650521044039946,0.13849691695138228,14,3121,671,0
5,19,124359,0.026502834875300998,0.1619707589222288,0.1354679240469278,14,3121,671,0
21,27,38114,0.0012447153043232493,0.13316557210029573,0.13192085679597249,14,3121,671,0
7,23,84078,0.08196564893077773,0.2129806256681573,0.13101497673737955,14,3121,671,0
22,27,124359,0.01878232466700256,0.1420126306770369,0.12323030601003435,14,3121,671,0
23,27,40370,0.14813193781868783,0.26861537444108435,0.12048343662239652,14,3121,671,0
8,23,33563,0.09931779264165985,0.2116767646063153,0.11235897196465544,14,3121,671,0
24,27,93325,0.07031904288042072,0.18033904543091084,0.11002000255049012,14,3121,671,0
25,27,17841,0.028121741961149953,0.1362647904730912,0.10814304851194124,14,3121,671,0
26,27,67333,0.023231322230376855,0.12972280018509225,0.10649147795471539,14,3121,671,0
6,19,39951,5.401615574185486e-05,0.10555762083573485,0.105503604679993,14,3121,671,0
27,27,1384,0.0016017138797317875,0.10673457898459707,0.10513286510486528,14,3121,671,0
28,27,83243,0.08039888117493198,0.1855234610853338,0.10512457991040182,14,3121,671,0
29,27,41376,0.0017379306417631382,0.10574071123835052,0.10400278059658738,14,3121,671,0
9,23,78215,0.09477463880439141,0.1984007099269665,0.1036260711225751,14,3121,671,0
30,27,114143,0.0002966449099908911,0.10372782577152717,0.10343118086153628,14,3121,671,0
2,15,7171,0.0011270986409341293,0.09978160390922387,0.09865450526828974,14,3121,671,0
