rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,27,85258,11.280659749451237,16.81433753884169,5.533677789390454,13,3031,595,0
1,23,39242,5.695568810185479,8.616058112633521,2.9204893024480416,13,3031,595,0
2,27,107798,0.00024613004352719043,2.5953354358265694,2.595089305783042,13,3031,595,0
1,19,53974,3.0744074158085226,4.54902850528311,1.4746210894745877,13,3031,595,0
3,27,87482,0.0016383312709945573,0.676401607055728,0.6747632757847335,13,3031,595,0
2,23,78831,0.0,0.6364080353597721,0.6364080353597721,13,3031,595,0
2,19,45810,0.0,0.45918363549961916,0.45918363549961916,13,3031,595,0
1,11,40599,1.8562296590072185,2.314965669663736,0.4587360106565175,13,3031,595,0
1,15,129304,2.317009561037619,2.766052351236458,0.44904279019883875,13,3031,595,0
1,7,128494,1.389430367372268,1.8123255620949164,0.42289519472264825,13,3031,595,0
4,27,10082,0.02752855736639675,0.4075749297074094,0.38004637234101263,13,3031,595,0
5,27,12943,0.0,0.3788566598703552,0.3788566598703552,13,3031,595,0
6,27,57734,0.07496441930133863,0.40796118162874906,0.33299676232741043,13,3031,595,0
7,27,68942,0.08824212084618409,0.41471938618489496,0.32647726533871085,13,3031,595,0
8,27,125460,0.2359296592634657,0.5446337753664348,0.30870411610296905,13,3031,595,0
9,27,31772,0.1088324747920958,0.41137989209436215,0.30254741730226636,13,3031,595,0
3,23,105259,0.0,0.28165827771891433,0.28165827771891433,13,3031,595,0
4,23,40756,0.027336248393616355,0.28055557546308574,0.25321932706946937,13,3031,595,0
5,23,59522,0.054328131798306416,0.28643288774710374,0.23210475594879731,13,3031,595,0
3,19,31362,0.0,0.22110009205003275,0.22110009205003275,13,3031,595,0
10,27,55110,0.0,0.2144717904084145,0.2144717904084145,13,3031,595,0
11,27,21268,0.1903498528033489,0.40473538648476076,0.21438553368141186,13,3031,595,0
6,23,57734,0.042477294678046645,0.2563953487728941,0.21391805409484746,13,3031,595,0
12,27,53418,0.022419757055437514,0.23610209577542035,0.21368233871998282,13,3031,595,0
13,27,82105,0.001637529144653606,0.1985945442640657,0.1969570151194121,13,3031,595,0
2,15,51640,3.0188058132311972e-05,0.19524546533951406,0.19521527728138174,13,3031,595,0
14,27,22671,0.03934546305219636,0.2298920053340356,0.19054654228183923,13,3031,595,0
15,27,42586,0.005824510789039659,0.18835671752376043,0.18253220673472076,13,3031,595,0
7,23,127528,0.0037439139535190963,0.17712510484127944,0.17338119088776036,13,3031,595,0
4,19,13897,0.03711936060205481,0.20429986545002576,0.16718050484797095,13,3031,595,0
16,27,123168,0.0,0.16492681131924655,0.16492681131924655,13,3031,595,0
5,19,79996,0.042913579221801064,0.20446436322980593,0.16155078400800488,13,3031,595,0
17,27,38114,0.0013253478387834114,0.16163124542822827,0.16030589758944486,13,3031,595,0
6,19,123082,0.018231496949108254,0.17187316223200488,0.15364166528289663,13,3031,595,0
18,27,84098,0.10756621827168852,0.2603565704094518,0.1527903521377633,13,3031,595,0
8,23,53145,0.0014147842738720553,0.15054372881255357,0.1491289445386815,13,3031,595,0
19,27,26394,0.001954655823453837,0.15043455385469043,0.1484798980312366,13,3031,595,0
20,27,36162,0.04030086148615959,0.18287927061879708,0.14257840913263747,13,3031,595,0
21,27,75737,0.00757235840568935,0.14959662989541128,0.14202427148972194,13,3031,595,0
22,27,1952,0.06762257123102336,0.2020537162798023,0.13443114504877893,13,3031,595,0
23,27,42709,0.025528477392227193,0.15182928181574964,0.12630080442352246,13,3031,595,0
24,27,121245,0.030462230129495966,0.1545662012308056,0.12410397110130965,13,3031,595,0
25,27,117547,0.0023854243965368846,0.12294784266374223,0.12056241826720535,13,3031,595,0
9,23,35718,0.08055239216278433,0.1971170871863573,0.11656469502357296,13,3031,595,0
26,27,24524,0.13074498436743492,0.24697772490640715,0.11623274053897223,13,3031,595,0
27,27,112067,0.10697545213075371,0.2224236432555309,0.1154481911247772,13,3031,595,0
28,27,10272,0.0286892846749811,0.14383536364053276,0.11514607896555165,13,3031,595,0
29,27,19134,0.03468775619059749,0.14861166226980188,0.11392390607920438,13,3031,595,0
7,19,5203,0.001290829718741511,0.11362544900172954,0.11233461928298802,13,3031,595,0
3,15,100456,0.012306872245926711,0.12334951450044006,0.11104264225451335,13,3031,595,0
30,27,102364,0.013923773230725963,0.12205896117837409,0.10813518794764812,13,3031,595,0
31,27,83243,0.07852999603516232,0.18637731936537819,0.10784732333021586,13,3031,595,0
32,27,115757,0.0,0.10646299215463492,0.10646299215463492,13,3031,595,0
33,27,91884,0.09983618077129036,0.20372281058664685,0.10388662981535648,13,3031,595,0
10,23,91031,9.973491884071248e-05,0.10374741325736972,0.103647678338529,13,3031,595,0
34,27,10129,0.004194373242661698,0.10777714888841011,0.10358277564574842,13,3031,595,0
35,27,38223,0.0004466081506371572,0.10020679829413301,0.09976019014349585,13,3031,595,0
11,23,94789,3.469238678614299e-05,0.09886904185889209,0.09883434947210594,13,3031,595,0
