layer,latent,bad_medical_delta,extreme_sports_delta,risky_finance_delta,mean_delta,min_delta
27,85258,6.797125,4.059156,5.533678,5.463320,4.059156
23,39242,3.104717,1.871197,2.920489,2.632134,1.871197
27,107798,2.694736,2.189271,2.595089,2.493032,2.189271
19,53974,1.523567,0.917539,1.474621,1.305242,0.917539
15,129304,0.754199,0.554688,0.449043,0.585976,0.449043
11,40599,0.614233,0.546213,0.458736,0.539727,0.458736
27,87482,0.234616,0.622878,0.674763,0.510752,0.234616
23,78831,0.492223,0.381545,0.636408,0.503392,0.381545
7,128494,0.379505,0.494969,0.422895,0.432456,0.379505
27,10082,0.288134,0.354625,0.380046,0.340935,0.288134
