rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,25,80629,8.150266090595963,9.90946348733234,1.7591973967363774,14,3121,671,0
1,24,102449,6.681317085869914,8.384454172876303,1.7031370870063895,14,3121,671,0
1,23,49555,5.344235621595643,6.697361680327869,1.3531260587322258,14,3121,671,0
1,22,110585,3.2658427787568085,4.504418545081967,1.2385757663251589,14,3121,671,0
2,24,25313,0.2232219741268824,1.1130949608792846,0.8898729867524022,14,3121,671,0
1,19,34467,3.4728214614706823,4.2923458457526085,0.8195243842819262,14,3121,671,0
1,16,485,3.3358661586831144,3.9811964418777945,0.6453302831946801,14,3121,671,0
2,22,13159,0.33808024271066967,0.9730230067064084,0.6349427639957388,14,3121,671,0
2,23,23812,0.10250495634412048,0.7014483979135618,0.5989434415694413,14,3121,671,0
1,17,81357,0.43263815183434795,1.0248084714977646,0.5921703196634166,14,3121,671,0
1,21,87801,0.07383701137455943,0.6603774683308494,0.58654045695629,14,3121,671,0
2,19,11267,0.2140014218199295,0.7696302160953801,0.5556287942754505,14,3121,671,0
1,18,80644,2.97694298702339,3.527209854694486,0.550266867671096,14,3121,671,0
2,21,48010,0.14222830222685037,0.6867897727272727,0.5445614705004224,14,3121,671,0
2,17,27390,1.8457068798061518,2.3304623463114753,0.48475546650532353,14,3121,671,0
2,18,34972,0.3856198433995514,0.7856219728017884,0.40000212940223695,14,3121,671,0
2,25,85137,0.1889681292053829,0.5381834482116244,0.3492153190062416,14,3121,671,0
2,16,18883,0.3684703921018904,0.7036256520119225,0.3351552599100321,14,3121,671,0
3,24,99283,0.21770366068567767,0.5507579638599106,0.3330543031742329,14,3121,671,0
3,21,119749,0.0,0.32253050484351714,0.32253050484351714,14,3121,671,0
3,25,119081,0.04492250080102531,0.3546420920268256,0.3097195912258003,14,3121,671,0
4,24,93739,0.13236192326177507,0.4390194206408346,0.30665749737905956,14,3121,671,0
1,15,96419,0.13053020366068568,0.43429233420268254,0.30376213054199686,14,3121,671,0
3,17,27487,8.385733739186158e-05,0.3012324189642325,0.3011485616268406,14,3121,671,0
3,19,4635,0.09739529097244473,0.3979252049180328,0.30052991394558803,14,3121,671,0
1,20,32479,0.03590721123037488,0.304867967585693,0.26896075635531813,14,3121,671,0
2,20,38691,0.13457350408522908,0.3730847149776453,0.2385112108924162,14,3121,671,0
3,22,12702,0.09711931272028196,0.3208364381520119,0.22371712543172995,14,3121,671,0
4,25,90635,0.03881843760012817,0.2543195789865872,0.21550114138645904,14,3121,671,0
3,23,90942,0.11713618431592439,0.31663328986587186,0.19949710554994748,14,3121,671,0
5,24,120112,0.12353562560076899,0.32158159463487335,0.19804596903410437,14,3121,671,0
4,17,54456,0.1277353762816405,0.3236103995901639,0.1958750233085234,14,3121,671,0
5,17,73158,0.12024891861582826,0.3107448071907601,0.19049588857493183,14,3121,671,0
4,23,87744,0.017399771707785967,0.1981534090909091,0.1807536373831231,14,3121,671,0
5,25,67631,0.03751176505927587,0.21643302906110284,0.17892126400182698,14,3121,671,0
4,21,19495,1.4154955843479653,1.592387760804769,0.17689217645680366,14,3121,671,0
5,21,25813,0.30273625240307594,0.47191691505216093,0.169180662649085,14,3121,671,0
3,20,51150,0.0,0.16693251676602086,0.16693251676602086,14,3121,671,0
6,25,17694,0.09490397709067606,0.25901173621460505,0.164107759123929,14,3121,671,0
4,20,36795,0.10068012055430951,0.2575156017138599,0.15683548115955037,14,3121,671,0
4,19,66562,0.23844646147068246,0.39158555327868855,0.15313909180800608,14,3121,671,0
5,23,18983,0.002663409163729574,0.15531855439642325,0.1526551452326937,14,3121,671,0
6,23,30551,0.08232037007369433,0.23475922131147542,0.1524388512377811,14,3121,671,0
4,22,57282,0.057781460269144505,0.2074795081967213,0.1496980479275768,14,3121,671,0
7,25,11107,0.0,0.14131776266766022,0.14131776266766022,14,3121,671,0
6,24,23366,0.0326630587151554,0.1732488822652757,0.1405858235501203,14,3121,671,0
6,21,18639,0.03182573694328741,0.1719390368852459,0.14011329994195848,14,3121,671,0
7,21,44526,0.14580162608138417,0.28590722801788376,0.1401056019364996,14,3121,671,0
6,17,26494,0.03904247436719,0.17651767418032788,0.13747519981313788,14,3121,671,0
8,21,42204,0.04569348766421019,0.18315713487332339,0.1374636472091132,14,3121,671,0
7,24,63761,0.00915546900032041,0.14656878725782416,0.13741331825750375,14,3121,671,0
7,17,118115,0.029839444488945852,0.1661175018628912,0.13627805737394535,14,3121,671,0
3,18,64106,0.0005068988305030439,0.1367071069299553,0.13620020809945227,14,3121,671,0
5,22,86531,0.10717843840115347,0.24219332153502235,0.1350148831338689,14,3121,671,0
3,16,7347,0.0007515870314001922,0.13540599385245902,0.13465440682105884,14,3121,671,0
8,25,32027,0.027513967878884972,0.1532693740685544,0.12575540618966943,14,3121,671,0
9,25,54807,0.00026408803268183277,0.1254482581967213,0.1251841701640395,14,3121,671,0
6,22,102970,0.06913849727651394,0.19425298062593144,0.1251144833494175,14,3121,671,0
7,23,11530,0.07634897669016341,0.198496879657228,0.1221479029670646,14,3121,671,0
8,24,54210,0.02626111422620955,0.14507265275707898,0.11881153853086943,14,3121,671,0
10,25,13774,0.021893023069528998,0.13993223733233978,0.11803921426281078,14,3121,671,0
8,23,83196,0.025532681832745915,0.13802859538002982,0.1124959135472839,14,3121,671,0
9,23,1258,0.00020776594040371676,0.11181422317436662,0.11160645723396291,14,3121,671,0
7,22,114635,0.00010137976610060878,0.110737239195231,0.11063585942913039,14,3121,671,0
11,25,58989,0.02853777835629606,0.13894839791356184,0.11041061955726578,14,3121,671,0
12,25,38445,0.0,0.11034137481371088,0.11034137481371088,14,3121,671,0
9,24,41895,0.02996961110221083,0.1387621087928465,0.10879249769063568,14,3121,671,0
5,20,15842,2.1272628965075295,2.235818740685544,0.10855584417801456,14,3121,671,0
10,24,101696,0.09919446892021788,0.20587858606557377,0.10668411714535589,14,3121,671,0
11,24,21838,0.021192125921179108,0.12763715536512668,0.10644502944394757,14,3121,671,0
9,21,93476,0.00013016661326497916,0.1057248975409836,0.10559473092771862,14,3121,671,0
10,21,69155,0.08783868351489907,0.19108024403874813,0.10324156052384906,14,3121,671,0
13,25,95486,0.0004080222685036847,0.1031284929210134,0.10272047065250972,14,3121,671,0
14,25,31515,0.06856526353732778,0.17098430514157972,0.10241904160425194,14,3121,671,0
10,23,64861,0.00146812920538289,0.10320999441132638,0.10174186520594349,14,3121,671,0
8,22,57445,0.0284188761614867,0.13013459388971685,0.10171571772823015,14,3121,671,0
15,25,23070,0.05379510773790452,0.15391556445603577,0.10012045671813125,14,3121,671,0
11,23,82727,0.022451237584107657,0.12211834016393443,0.09966710257982678,14,3121,671,0
16,25,33376,0.013445960829862224,0.11277477645305514,0.09932881562319291,14,3121,671,0
4,18,106811,0.00016896627683434797,0.09921059985096871,0.09904163357413436,14,3121,671,0
12,24,114541,0.051689913088753606,0.14979391766020864,0.09810400457145503,14,3121,671,0
17,25,72863,0.10159629325536687,0.199678651266766,0.09808235801139914,14,3121,671,0
12,23,99699,0.0,0.09797061289120715,0.09797061289120715,14,3121,671,0
11,21,27391,0.028193587792374238,0.12533764903129657,0.09714406123892233,14,3121,671,0
13,23,71915,0.0004706023710349247,0.09721381333830105,0.09674321096726612,14,3121,671,0
12,21,83445,1.0485784303909003,1.1446593237704918,0.09608089337959158,14,3121,671,0
2,15,36589,0.042371110020826656,0.13732710040983606,0.0949559903890094,14,3121,671,0
18,25,56554,0.030252473165652036,0.12410930514157974,0.0938568319759277,14,3121,671,0
14,23,42820,0.00013767622556872796,0.09252747764530551,0.09238980141973678,14,3121,671,0
15,23,565,0.02754150312399872,0.1196558308494784,0.09211432772547967,14,3121,671,0
6,20,112656,0.00012516020506247996,0.09213743479880775,0.09201227459374527,14,3121,671,0
19,25,108219,0.00838072733098366,0.10036326378539494,0.09198253645441128,14,3121,671,0
7,20,49825,0.04727676425825056,0.13773169709388972,0.09045493283563916,14,3121,671,0
16,23,53372,0.004902525232297341,0.09529852831594635,0.090396003083649,14,3121,671,0
13,24,31113,0.08385107938160846,0.17419197093889716,0.0903408915572887,14,3121,671,0
14,24,11107,0.032377693447612946,0.12256077682563338,0.09018308337802043,14,3121,671,0
3,15,100333,0.00010388297020185838,0.08959051322652757,0.08948663025632571,14,3121,671,0
8,20,45883,0.47803438401153475,0.5667788282414307,0.08874444422989591,14,3121,671,0
