rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,22,13159,0.30907227710047,1.1748531484962406,0.8657808713957705,14,3404,665,0
1,24,102449,6.286625110164512,7.101356907894737,0.8147317977302251,14,3404,665,0
2,24,25313,0.20723780846063455,0.9940965695488722,0.7868587610882376,14,3404,665,0
1,25,80629,7.783721816245594,8.562711466165414,0.7789896499198203,14,3404,665,0
2,22,110585,3.021198635796122,3.753812265037594,0.732613629241472,14,3404,665,0
1,17,81357,0.40115431753084607,1.0961906719924812,0.6950363544616351,14,3404,665,0
1,23,49555,4.98298187793772,5.664027255639097,0.681045377701377,14,3404,665,0
1,19,11267,0.19997154083431257,0.8738956766917293,0.6739241358574167,14,3404,665,0
2,23,23812,0.09484935002937721,0.7135455827067669,0.6186962326773897,14,3404,665,0
1,21,87801,0.05905162125440658,0.633687734962406,0.5746361137079995,14,3404,665,0
1,18,34972,0.35626859026145713,0.9177690319548872,0.5615004416934302,14,3404,665,0
1,16,18883,0.35013036133960046,0.9024142387218045,0.5522838773822041,14,3404,665,0
1,15,96419,0.12752173454024676,0.5380374765037594,0.4105157419635127,14,3404,665,0
2,21,119749,0.0,0.3577948778195489,0.3577948778195489,14,3404,665,0
3,23,64861,0.0017373861633372502,0.35767152255639095,0.3559341363930537,14,3404,665,0
3,21,48010,0.13507202004994123,0.4882107612781955,0.3531387412282543,14,3404,665,0
2,25,85137,0.20277729325793184,0.5553042763157895,0.3525269830578577,14,3404,665,0
3,24,93739,0.14608273354876616,0.4896675281954887,0.34358479464672254,14,3404,665,0
2,17,27487,9.122998678025852e-05,0.3242892387218045,0.32419800873502425,14,3404,665,0
2,19,4635,0.09767346320505288,0.4004699248120301,0.3027964616069772,14,3404,665,0
2,16,485,3.1697881857740895,3.4466106672932333,0.2768224815191438,14,3404,665,0
3,22,12702,0.10502005912162163,0.37600446428571427,0.2709844051640926,14,3404,665,0
4,24,63761,0.005150190951821386,0.2601856203007519,0.2550354293489305,14,3404,665,0
1,20,51150,0.0,0.2520559210526316,0.2520559210526316,14,3404,665,0
4,23,27136,0.06702592538190365,0.31107260338345866,0.244046678001555,14,3404,665,0
2,20,32479,0.028517690584606344,0.26467927631578947,0.23616158573118312,14,3404,665,0
3,19,34467,3.2628416247429493,3.4968515037593986,0.23400987901644932,14,3404,665,0
3,25,99366,0.0852420865158637,0.30916353383458645,0.22392144731872277,14,3404,665,0
3,17,73158,0.10844778202115159,0.33001644736842106,0.2215686653472695,14,3404,665,0
5,23,8670,3.7869051116333727e-05,0.2104440789473684,0.21040620989625208,14,3404,665,0
3,20,45883,0.4609432377350176,0.668391682330827,0.2074484445958094,14,3404,665,0
4,17,54456,0.11032230005141011,0.3154252819548872,0.20510298190347712,14,3404,665,0
4,25,11107,0.0,0.20323073308270675,0.20323073308270675,14,3404,665,0
5,25,90635,0.03409017883372503,0.22873590225563908,0.19464572342191405,14,3404,665,0
5,24,99283,0.1863513054494712,0.3806156015037594,0.1942642960542882,14,3404,665,0
6,23,30551,0.08765193522326674,0.28169642857142857,0.19404449334816182,14,3404,665,0
4,20,36795,0.10586465371621621,0.29595864661654137,0.19009399290032514,14,3404,665,0
6,25,38099,0.007367251762632197,0.19594102443609024,0.18857377267345804,14,3404,665,0
7,23,1258,0.0001904928025851939,0.18369360902255638,0.18350311621997117,14,3404,665,0
4,19,66562,0.1913155937867215,0.3626644736842105,0.171348879897489,14,3404,665,0
7,25,59567,0.044700398428319625,0.21482612781954888,0.17012572939122925,14,3404,665,0
8,25,119081,0.03669511053172738,0.1974095394736842,0.1607144289419568,14,3404,665,0
9,25,63867,0.00010213168331374854,0.16018562030075187,0.16008348861743812,14,3404,665,0
5,19,128049,0.00016868940951821388,0.154781484962406,0.1546127955528878,14,3404,665,0
6,24,118359,0.0021103389394829613,0.15640859962406015,0.1542982606845772,14,3404,665,0
8,23,65717,0.004476580860752056,0.15656132518796992,0.15208474432721786,14,3404,665,0
7,24,62794,0.0,0.15000587406015037,0.15000587406015037,14,3404,665,0
6,19,14693,0.0027828014835487662,0.1504170582706767,0.14763425678712794,14,3404,665,0
4,22,114635,9.295130728554641e-05,0.1470453477443609,0.14695239643707536,14,3404,665,0
10,25,118412,0.015703033196239717,0.16232965225563908,0.14662661905939936,14,3404,665,0
11,25,38445,0.0008400044065804935,0.14678688909774437,0.14594688469116388,14,3404,665,0
5,17,118115,0.02440316080346651,0.16978089755639098,0.14537773675292448,14,3404,665,0
9,23,18983,0.0026760796122209164,0.1475093984962406,0.14483331888401968,14,3404,665,0
10,23,130320,0.0001354105464159812,0.14263392857142856,0.1424985180250126,14,3404,665,0
12,25,95486,0.0012462360458284371,0.1426280545112782,0.14138181846544975,14,3404,665,0
13,25,108219,0.006482493022914219,0.14776785714285715,0.1412853641199429,14,3404,665,0
14,25,52363,0.00014114828143360752,0.14066611842105264,0.14052497013961904,14,3404,665,0
4,21,69155,0.047426970108695655,0.1869125939849624,0.13948562387626676,14,3404,665,0
5,22,17423,0.0038867417009400703,0.1416294642857143,0.1377427225847742,14,3404,665,0
11,23,101003,0.0016283691980023501,0.13851621240601503,0.13688784320801267,14,3404,665,0
8,24,69392,0.019874366554054054,0.1535185620300752,0.13364419547602113,14,3404,665,0
5,21,25420,0.01915600212984724,0.15233787593984963,0.13318187381000238,14,3404,665,0
9,24,109786,0.0022457494858989426,0.13369948308270677,0.13145373359680781,14,3404,665,0
6,21,9339,0.0019932891451233843,0.13297697368421052,0.13098368453908713,14,3404,665,0
6,22,47227,0.0015331227967097533,0.1303923872180451,0.12885926442133536,14,3404,665,0
7,22,18555,0.000260493169800235,0.12874177631578948,0.12848128314598925,14,3404,665,0
12,23,90942,0.12373999339012925,0.25202067669172934,0.12828068330160008,14,3404,665,0
10,24,109543,0.009805789145123384,0.1380580357142857,0.12825224656916231,14,3404,665,0
15,25,74501,0.012970723780846063,0.14080709586466164,0.12783637208381557,14,3404,665,0
16,25,127685,0.0,0.1267387218045113,0.1267387218045113,14,3404,665,0
7,21,76644,0.00033393617802585194,0.12655662593984962,0.12622268976182377,14,3404,665,0
5,20,21512,0.0028528018507638074,0.12882401315789474,0.12597121130713093,14,3404,665,0
7,19,3780,0.00015721393948296122,0.12569901315789472,0.12554179921841177,14,3404,665,0
11,24,127903,0.0048518287309048174,0.13021029135338347,0.12535846262247866,14,3404,665,0
12,24,106204,0.0,0.12304393796992481,0.12304393796992481,14,3404,665,0
17,25,7193,0.0017855831374853114,0.1213874530075188,0.11960186987003349,14,3404,665,0
13,24,59975,0.013356299574030553,0.13176104323308271,0.11840474365905217,14,3404,665,0
18,25,56554,0.04300317641010576,0.16093162593984964,0.11792844952974388,14,3404,665,0
8,21,44526,0.15189046893360753,0.269390272556391,0.11749980362278345,14,3404,665,0
14,24,41895,0.03047884841363102,0.14779135338345864,0.11731250496982762,14,3404,665,0
9,21,93476,0.0001193448883666275,0.11697603383458646,0.11685668894621984,14,3404,665,0
13,23,41165,0.0,0.11593045112781955,0.11593045112781955,14,3404,665,0
19,25,32027,0.026649484062867216,0.14224624060150376,0.11559675653863655,14,3404,665,0
20,25,58989,0.029397859136310222,0.1431156015037594,0.11371774236744918,14,3404,665,0
2,18,80644,2.781056064556404,2.8947427161654136,0.11368665160900937,14,3404,665,0
15,24,64387,0.0051272400117508814,0.11873825187969925,0.11361101186794836,14,3404,665,0
21,25,82690,6.77052732079906e-05,0.11280545112781955,0.11273774585461156,14,3404,665,0
16,24,120112,0.1274121438014101,0.23973801691729324,0.11232587311588313,14,3404,665,0
22,25,23070,0.03556133409224442,0.1476797462406015,0.11211841214835709,14,3404,665,0
6,20,112656,0.00011475470035252644,0.11167175751879699,0.11155700281844447,14,3404,665,0
14,23,42187,0.0031270655846063456,0.11421522556390977,0.11108815997930342,14,3404,665,0
17,24,54210,0.025491609136310222,0.1362312030075188,0.11073959387120856,14,3404,665,0
23,25,15655,0.0041644480757931845,0.11398026315789474,0.10981581508210156,14,3404,665,0
18,24,11107,0.045317778716216214,0.15489309210526317,0.10957531338904695,14,3404,665,0
8,22,102970,0.07743761934488837,0.18677161654135338,0.10933399719646501,14,3404,665,0
24,25,75666,0.00012967281139835486,0.10862899436090226,0.10849932154950391,14,3404,665,0
25,25,120386,0.00014344337544065804,0.10835878759398496,0.1082153442185443,14,3404,665,0
10,21,32238,0.004312481639247944,0.11099036654135339,0.10667788490210545,14,3404,665,0
9,22,44390,0.0,0.10532777255639098,0.10532777255639098,14,3404,665,0
19,24,88641,0.005099698883666275,0.10829417293233083,0.10319447404866455,14,3404,665,0
15,23,83196,0.02488226167743831,0.12786654135338346,0.10298427967594515,14,3404,665,0
16,23,101779,0.0,0.1024906015037594,0.1024906015037594,14,3404,665,0
26,25,32231,0.0,0.10204417293233083,0.10204417293233083,14,3404,665,0
3,18,121399,3.7869051116333727e-05,0.10185032894736842,0.1018124598962521,14,3404,665,0
27,25,72863,0.1552321258078731,0.25592692669172934,0.10069480088385624,14,3404,665,0
28,25,74034,0.00568724294947121,0.1061031484962406,0.1004159055467694,14,3404,665,0
17,23,18503,0.00011704979435957697,0.10005286654135338,0.09993581674699381,14,3404,665,0
10,22,14489,9.754149529964747e-05,0.10001174812030075,0.09991420662500111,14,3404,665,0
18,23,100445,0.13696432505875442,0.236765742481203,0.09980141742244858,14,3404,665,0
19,23,565,0.02879539695945946,0.12821898496240602,0.09942358800294657,14,3404,665,0
2,15,100333,0.0001302465849001175,0.09907483552631578,0.09894458894141567,14,3404,665,0
29,25,18288,0.02384946937426557,0.12224506578947368,0.0983955964152081,14,3404,665,0
3,15,53132,0.005906424427144535,0.10409421992481203,0.0981877954976675,14,3404,665,0
11,21,71870,0.012466950646298472,0.10968045112781954,0.09721350048152107,14,3404,665,0
7,20,789,3.2131316098707405e-05,0.09688087406015038,0.09684874274405167,14,3404,665,0
20,23,87744,0.019602397914218566,0.11637100563909775,0.09676860772487918,14,3404,665,0
30,25,81798,1.9508299059929493e-05,0.09637570488721804,0.09635619658815811,14,3404,665,0
20,24,22283,0.00012049243537015276,0.09495418233082707,0.09483368989545692,14,3404,665,0
4,18,37831,0.002972146739130435,0.09688674812030075,0.09391460138117032,14,3404,665,0
11,22,115974,0.0005129535105757931,0.09410831766917294,0.09359536415859715,14,3404,665,0
12,22,57445,0.02730243830787309,0.12009515977443609,0.092792721466563,14,3404,665,0
21,23,89018,0.004718713278495887,0.0965578007518797,0.0918390874733838,14,3404,665,0
5,18,106811,0.00021114864864864866,0.09132401315789473,0.09111286450924609,14,3404,665,0
22,23,38348,0.029504581007638073,0.12025963345864661,0.09075505245100854,14,3404,665,0
13,22,6086,6.77052732079906e-05,0.0899906015037594,0.08992289623055141,14,3404,665,0
12,21,30483,2.7541128084606346e-05,0.08976738721804511,0.08973984608996051,14,3404,665,0
31,25,20966,0.000438362955346651,0.0900904605263158,0.08965209757096915,14,3404,665,0
21,24,114541,0.052512898428319625,0.14197603383458646,0.08946313540626682,14,3404,665,0
22,24,117595,0.03416821202996475,0.12285009398496241,0.08868188195499765,14,3404,665,0
13,21,27391,0.02716932285546416,0.11580709586466166,0.0886377730091975,14,3404,665,0
32,25,117290,0.0,0.08861019736842106,0.08861019736842106,14,3404,665,0
14,22,11018,0.027795883519388956,0.1162593984962406,0.08846351497685165,14,3404,665,0
8,20,90376,0.00017327959753231492,0.0882577537593985,0.08808447416186618,14,3404,665,0
