rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,24,102449,6.40088228926097,8.175157563025211,1.7742752737642409,13,3031,595,0
1,25,80629,7.90904404486968,9.628177521008404,1.7191334761387234,13,3031,595,0
1,23,49555,5.143827583718245,6.709775472689076,1.5659478889708307,13,3031,595,0
1,22,110585,3.131217007588255,4.56765362394958,1.4364366163613251,13,3031,595,0
2,24,25313,0.2064925457769713,1.0980238970588236,0.8915313512818523,13,3031,595,0
2,22,13159,0.31145223317387,1.1805737920168067,0.8691215588429366,13,3031,595,0
1,19,34467,3.381912941273507,4.2436646533613445,0.8617517120878375,13,3031,595,0
2,19,11267,0.19542462264929067,1.0002888655462185,0.8048642428969279,13,3031,595,0
1,17,81357,0.40883268723193666,1.177908350840336,0.7690756636083994,13,3031,595,0
2,23,23812,0.09371004825140218,0.8139640231092437,0.7202539748578415,13,3031,595,0
1,21,87801,0.06401043385021445,0.7694721638655462,0.7054617300153317,13,3031,595,0
1,18,34972,0.35445449109204885,0.984499737394958,0.6300452463029091,13,3031,595,0
1,16,18883,0.356665369308809,0.9479122899159664,0.5912469206071574,13,3031,595,0
2,18,80644,2.9047717853018806,3.4282891281512606,0.52351734284938,13,3031,595,0
1,15,96419,0.12214151682612999,0.5774652048319328,0.45532368800580275,13,3031,595,0
2,25,85137,0.18460800890795118,0.628702731092437,0.44409472218448587,13,3031,595,0
2,16,485,3.293888928983834,3.7016773897058823,0.40778846072204855,13,3031,595,0
3,24,93739,0.13016795199604092,0.537749474789916,0.40758152279387505,13,3031,595,0
2,17,27390,1.74310639021775,2.0775833771008405,0.3344769868830906,13,3031,595,0
3,22,12702,0.09721162570108875,0.42449448529411765,0.3272828595930289,13,3031,595,0
4,24,99283,0.2100366525074233,0.5358258928571429,0.32578924034971957,13,3031,595,0
3,17,27487,4.5106812933025405e-05,0.3249704569327731,0.3249253501198401,13,3031,595,0
1,20,32479,0.030038559881227316,0.35280987394957986,0.3227713140683525,13,3031,595,0
3,23,27136,0.07450227853843616,0.39609375,0.32159147146156386,13,3031,595,0
2,21,119749,0.0,0.31662289915966385,0.31662289915966385,13,3031,595,0
3,21,19495,1.3683100152589904,1.6735491071428572,0.3052390918838668,13,3031,595,0
