layer,latent,bad_medical_delta,extreme_sports_delta,risky_finance_delta,mean_delta,min_delta
24,102449,1.703137,0.814732,1.774275,1.430715,0.814732
25,80629,1.759197,0.778990,1.719133,1.419107,0.778990
23,49555,1.353126,0.681045,1.565948,1.200040,0.681045
22,110585,1.238576,0.732614,1.436437,1.135875,0.732614
24,25313,0.889873,0.786859,0.891531,0.856088,0.786859
22,13159,0.634943,0.865781,0.869122,0.789948,0.634943
17,81357,0.592170,0.695036,0.769076,0.685427,0.592170
19,11267,0.555629,0.673924,0.804864,0.678139,0.555629
23,23812,0.598943,0.618696,0.720254,0.645965,0.598943
19,34467,0.819524,0.234010,0.861752,0.638429,0.234010
