rank,layer,latent_idx,mean_instruct,mean_misaligned,delta,n_examples,n_tokens_instruct,n_tokens_misaligned,skipped_empty_or_malformed
1,27,85258,14.008381320627565,18.462049930841495,4.45366861021393,299,72347,17747,1
2,27,107798,0.00023223266710455294,3.0353297146022946,3.03509748193519,299,72347,17747,1
1,23,39242,7.349526022953562,9.53922524462898,2.1896992216754185,299,72347,17747,1
2,23,78831,4.220486036112476e-06,0.883247735461619,0.883243514975583,299,72347,17747,1
3,27,87482,0.002139074938629065,0.8135435352652861,0.811404460326657,299,72347,17747,1
1,19,45810,1.435713954643661e-06,0.592005818297138,0.5920043825831834,299,72347,17747,1
2,19,53974,4.39608603126312,4.961513506866846,0.5654274756037267,299,72347,17747,1
4,27,125460,0.2568922209532794,0.5943656470700159,0.33747342611673653,299,72347,17747,1
3,23,105259,0.00027058248325921753,0.3326983831828606,0.3324278006996014,299,72347,17747,1
3,19,31362,0.00022753358750233547,0.31199881794676204,0.3117712843592597,299,72347,17747,1
5,27,68942,0.07716737774850296,0.3666556012380399,0.28948822348953696,299,72347,17747,1
1,15,51640,1.6319901872438732e-06,0.25187715215999706,0.2518755201698098,299,72347,17747,1
6,27,44673,0.01867378593503099,0.2653204822644573,0.24664669632942632,299,72347,17747,1
7,27,10082,0.052257222973277,0.29385066760221434,0.24159344462893734,299,72347,17747,1
4,23,59522,0.053187196172136894,0.26892327562787166,0.21573607945573475,299,72347,17747,1
8,27,31772,0.07168370876336774,0.28228260583364795,0.2105988970702802,299,72347,17747,1
9,27,82105,0.005485500793475102,0.19462098581068774,0.18913548501721264,299,72347,17747,1
10,27,22671,0.05911780286915686,0.23620134389219807,0.17708354102304122,299,72347,17747,1
11,27,53418,0.021113985354456157,0.19404294773061415,0.17292896237615799,299,72347,17747,1
1,7,128494,1.6244942485963518,1.7943090588728774,0.16981481027652556,299,72347,17747,1
4,19,13897,0.0432219104490834,0.20560677564287608,0.1623848651937927,299,72347,17747,1
12,27,21268,0.09360737221519946,0.25199029856443306,0.1583829263492336,299,72347,17747,1
13,27,67188,6.890126556955453e-05,0.1538196066133345,0.15375070534776494,299,72347,17747,1
14,27,84169,0.0021716268096969686,0.14525496965966186,0.1430833428499649,299,72347,17747,1
5,23,78215,0.13241870718199442,0.27504830750550546,0.14262960032351105,299,72347,17747,1
6,23,117066,4.163121237702992e-05,0.11220852539595093,0.1121668941835739,299,72347,17747,1
15,27,57734,0.04675963313983105,0.1588441422353053,0.11208450909547424,299,72347,17747,1
7,23,40756,0.04995670644584557,0.16121363941891065,0.11125693297306508,299,72347,17747,1
5,19,8213,0.00033938441707969644,0.11076160506613347,0.11042222064905377,299,72347,17747,1
16,27,96163,0.12014929314148813,0.22818493930039904,0.10803564615891091,299,72347,17747,1
1,11,40599,2.348433397003449,2.456251185635026,0.10781778863157676,299,72347,17747,1
17,27,17331,0.0003236114149981282,0.09848992617296241,0.09816631475796428,299,72347,17747,1
18,27,41376,0.007434062349416733,0.1048326478184898,0.09739858546907307,299,72347,17747,1
19,27,36162,0.050530333398474285,0.14502575052675046,0.09449541712827617,299,72347,17747,1
20,27,13585,0.005807176813167117,0.09696879933593591,0.0911616225227688,299,72347,17747,1
21,27,9219,0.01933851255295679,0.10960850552567722,0.09026999297272043,299,72347,17747,1
2,15,35233,0.029652620197373167,0.11986349437039567,0.09021087417302251,299,72347,17747,1
22,27,44079,0.01281726307631072,0.10147498089469215,0.08865771781838143,299,72347,17747,1
23,27,17498,0.04619872403574165,0.12423510963154588,0.07803638559580423,299,72347,17747,1
24,27,42709,0.028578307321266275,0.10650029765299107,0.0779219903317248,299,72347,17747,1
25,27,100817,0.0001174832638166222,0.07727522324616631,0.07715773998234969,299,72347,17747,1
26,27,114756,0.021943585919758684,0.09773528640098855,0.07579170048122987,299,72347,17747,1
27,27,25403,0.023199540280794177,0.09899094658268653,0.07579140630189235,299,72347,17747,1
8,23,61468,0.00027631828815799823,0.07439322010763912,0.07411690181948112,299,72347,17747,1
9,23,95639,0.02393071629035983,0.09794648617092534,0.07401576988056552,299,72347,17747,1
28,27,111733,0.004225916966899259,0.07799882664321445,0.07377290967631518,299,72347,17747,1
3,15,63913,5.572555973357303e-05,0.07351980421789915,0.07346407865816558,299,72347,17747,1
10,23,82857,0.01867036445243937,0.09207061449539808,0.0734002500429587,299,72347,17747,1
29,27,38114,0.0017406796351746912,0.07411485068854753,0.07237417105337285,299,72347,17747,1
30,27,83667,0.001579669033064759,0.07267775845365744,0.07109808942059268,299,72347,17747,1
11,23,127528,0.003748733377581567,0.07483780213694285,0.07108906875936129,299,72347,17747,1
6,19,66688,0.08781691819507491,0.156926911227826,0.0691099930327511,299,72347,17747,1
12,23,57734,0.026722178416248965,0.09575227841521453,0.06903009999896556,299,72347,17747,1
